,NCT_ID,Phase,Status,Disease Name,Drug Name,Mechanism of Action,Action Type,Target Approved Name,Target Approved Symbol,Drug Type,Breif Summary,Impact On Cacner Progression,Cancer Type
113,NCT00853996,2,Completed,breast cancer,ACOLBIFENE,Estrogen receptor modulator,MODULATOR,estrogen receptor 2,ESR2,Small molecule,This phase II trial is studying how well acolbifene works in preventing cancer in premenopausal women at high risk of breast cancer. Chemoprevention is the use of certain drugs to keep cancer from forming. The use of acolbifene may stop cancer from growing or coming back.,yes,NA
238,NCT02352025,0.5,Completed,breast cancer,AUS-131,Estrogen receptor beta agonist,AGONIST,estrogen receptor 2,ESR2,Small molecule,"The primary objective of this study is to determine if S-equol, an ER-beta agonist, is effective in decreasing the proliferation rate of triple negative breast cancer.",yes,TNBC
408,NCT04432454,2,"Active, not recruiting",breast cancer,LASOFOXIFENE,Estrogen receptor modulator,MODULATOR,estrogen receptor 2,ESR2,Small molecule,"This is an open-label, multicenter, single-arm safety study evaluating the safety and tolerability of the lasofoxifene and abemaciclib combination for the treatment of pre- and postmenopausal women with locally advanced or metastatic ER+/HER2- breast cancer who have disease progression on first and/or 2nd lines of hormonal treatment for metastatic disease and have an ESR1 mutation.",yes,ER+/Her2-
432,NCT04821141,2,Recruiting,breast cancer,"ESTROGENS, CONJUGATED",Estrogen receptor agonist,AGONIST,estrogen receptor 2,ESR2,Small molecule,Women at risk for development of breast cancer and experiencing vasomotor menopausal symptoms (hot flashes) will be randomized to bazedoxifene (BZA) plus conjugated estrogens (CE) for 6 months versus a wait list control. Two risk factors for development of breast cancer will be studied pre-study and after 6 months: fibroglandular volume (FGV) on mammogram as assessed by Volpara software and proliferation by Ki-67 immunocytochemistry in benign breast tissue acquired by random periareolar fine needle aspiration (RPFNA). Change in biomarkers will be compared between groups.,no,NA
434,NCT04821141,2,Recruiting,breast cancer,BAZEDOXIFENE,Estrogen receptor modulator,MODULATOR,estrogen receptor 2,ESR2,Small molecule,Women at risk for development of breast cancer and experiencing vasomotor menopausal symptoms (hot flashes) will be randomized to bazedoxifene (BZA) plus conjugated estrogens (CE) for 6 months versus a wait list control. Two risk factors for development of breast cancer will be studied pre-study and after 6 months: fibroglandular volume (FGV) on mammogram as assessed by Volpara software and proliferation by Ki-67 immunocytochemistry in benign breast tissue acquired by random periareolar fine needle aspiration (RPFNA). Change in biomarkers will be compared between groups.,no,NA
19,NCT00004906,2,Completed,breast cancer,PAMIDRONATE DISODIUM,Farnesyl diphosphate synthase inhibitor,INHIBITOR,farnesyl diphosphate synthase,FDPS,Small molecule,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy plus peripheral stem cell transplantation in treating women who have metastatic breast cancer.",no,NA
41,NCT00082277,4,Completed,breast cancer,RISEDRONATE SODIUM,Farnesyl diphosphate synthase inhibitor,INHIBITOR,farnesyl diphosphate synthase,FDPS,Small molecule,The purpose of this study is to evaluate safety parameters of anastrozole with regard to its potential effects on postmenopausal bone loss and on lipid profiles. This trial is conducted to investigate the effects of risedronate on BMD and on bone metabolism in postmenopausal women using anastrozole as adjuvant therapy for hormone-receptor-positive early breast cancer and who are high or moderate risk of fragility fracture. It is also conducted to determine the effects of anastrozole on bone mineral density (BMD) and on bone metabolism in women at low risk of fragility fracture.,yes,HR+
43,NCT00082277,4,Completed,breast cancer,RISEDRONIC ACID,Farnesyl diphosphate synthase inhibitor,INHIBITOR,farnesyl diphosphate synthase,FDPS,Small molecule,The purpose of this study is to evaluate safety parameters of anastrozole with regard to its potential effects on postmenopausal bone loss and on lipid profiles. This trial is conducted to investigate the effects of risedronate on BMD and on bone metabolism in postmenopausal women using anastrozole as adjuvant therapy for hormone-receptor-positive early breast cancer and who are high or moderate risk of fragility fracture. It is also conducted to determine the effects of anastrozole on bone mineral density (BMD) and on bone metabolism in women at low risk of fragility fracture.,yes,HR+
47,NCT00122356,3,Completed,breast cancer,ALENDRONATE SODIUM,Farnesyl diphosphate synthase inhibitor,INHIBITOR,farnesyl diphosphate synthase,FDPS,Small molecule,"The purpose of this study is to evaluate the use of an oral bisphosphonate (alendronate) in preventing bone loss in postmenopausal women with early breast cancer who are receiving anastrozole therapy, and to determine how long alendronate treatment is needed.",yes,NA
49,NCT00122356,3,Completed,breast cancer,ALENDRONIC ACID,Farnesyl diphosphate synthase inhibitor,INHIBITOR,farnesyl diphosphate synthase,FDPS,Small molecule,"The purpose of this study is to evaluate the use of an oral bisphosphonate (alendronate) in preventing bone loss in postmenopausal women with early breast cancer who are receiving anastrozole therapy, and to determine how long alendronate treatment is needed.",yes,NA
51,NCT00127205,3,Completed,breast cancer,IBANDRONATE SODIUM,Farnesyl diphosphate synthase inhibitor,INHIBITOR,farnesyl diphosphate synthase,FDPS,Small molecule,"RATIONALE: Zoledronate, clodronate, or ibandronate may delay or prevent bone metastases in patients with nonmetastatic breast cancer. It is not yet known whether zoledronate is more effective than clodronate or ibandronate in treating breast cancer.

PURPOSE: This randomized phase III trial is studying zoledronate to see how well it works compared to clodronate or ibandronate in treating women who have undergone surgery for stage I, stage II, or stage III breast cancer.",yes,NA
55,NCT00172029,4,Completed,breast cancer,ZOLEDRONIC ACID,Farnesyl diphosphate synthase inhibitor,INHIBITOR,farnesyl diphosphate synthase,FDPS,Small molecule,"The aim of this prospective, randomized, open-label, multicentric clinical study is to assess the efficacy and tolerability of zoledronic acid 4 mg IV infused over 15 minutes every 4 weeks for a total of 6 infusions, in combination with standard or reduced dose radiotherapy in patients with breast cancer and metastatic bone disease associated with pain.",yes,NA
56,NCT00196859,3,Completed,breast cancer,IBANDRONIC ACID,Farnesyl diphosphate synthase inhibitor,INHIBITOR,farnesyl diphosphate synthase,FDPS,Small molecule,This trial is done to determine the role of adjuvant chemotherapy with capecitabine in patients ≥ 65.,yes,NA
206,NCT01907880,4,Completed,breast cancer,PAMIDRONIC ACID,Farnesyl diphosphate synthase inhibitor,INHIBITOR,farnesyl diphosphate synthase,FDPS,Small molecule,"Metastatic breast cancer patients with bone involvement who are at high-risk of subsequent skeletal related event (SRE), defined as radiotherapy or surgery to the bone, pathological fracture, spinal cord compression, or hypercalcemia (as reflected through: elevated sCTX or bone pain or a prior SRE despite receiving standard bisphosphonate therapy) should experience a decrease in the surrogate marker, sCTX, at week 12 if switched to zoledronic acid compared with those patients who continue on intravenous pamidronate (i.e. current standard of care). The investigators propose that a drop in sCTX will correlate with improved pain, quality of life and a reduced incidence of further SREs.",yes,NA
10,NCT00003038,1,Completed,breast cancer,SURAMIN HEXASODIUM,Acidic fibroblast growth factor inhibitor,INHIBITOR,fibroblast growth factor 1,FGF1,Small molecule,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Phase I trial to study the effectiveness of combination chemotherapy with suramin plus doxorubicin in treating patients with advanced solid tumors.",yes,NA
29,NCT00054028,1,Completed,breast cancer,SURAMIN,Acidic fibroblast growth factor inhibitor,INHIBITOR,fibroblast growth factor 1,FGF1,Small molecule,This phase I/II trial studies the best dose of suramin when given together with paclitaxel in treating women with stage IIIB-IV breast cancer. Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Suramin may increase the effectiveness of paclitaxel by making tumor cells more sensitive to the drug.,yes,NA
220,NCT02053636,2,Completed,breast cancer,LUCITANIB,Fibroblast growth factor receptor 1 inhibitor,INHIBITOR,fibroblast growth factor receptor 1,FGFR1,Small molecule,"The aim of the study is to evaluate the objective response rate (ORR) of single agent lucitanib in metastatic breast cancer patients with FGFR1-amplified, FGFR1-non amplified with 11q amplification, or FGFR1-non amplified without 11q amplification.",yes,NA
330,NCT03344536,1,Completed,breast cancer,FGFR INHIBITOR DEBIO 1347,Fibroblast growth factor receptor 2 inhibitor,INHIBITOR,fibroblast growth factor receptor 2,FGFR2,Small molecule,"The purpose of a phase Ib study is to find out the best or maximum tolerated dose of a medication or combination of medications. Therefore, the purpose of this study is to decide the best dose of the study drug, Debio 1347, that can be given in combination with the standard hormonal drug, fulvestrant. Debio 1347 and fulvestrant could shrink the cancer but it could also cause side effects. This study tells us about the side effects of these drugs when given in this new combination, and how often they occur.",yes,NA
